Date,Question,Comment,Purpose,Customer focused,Innovation ,One team,Empowered/Development/ (Potential),Diversity & Well-Being,Score,Group,Driver/Value
2024-04-08 00:00:00,How likely is it you would recommend Abcam as a place to work?,Opportunity to train and learn skills,0,0,0,0,1,0,8,Engagement,Engagement
2024-04-04 00:00:00,How likely is it you would recommend Abcam as a place to work?,Still no update on benefits,0,0,0,0,1,1,6,Engagement,Engagement
2024-04-03 00:00:00,How likely is it you would recommend Abcam as a place to work?,"The opportunities that Danaher is creating for abcam to become fact driven and outcome driven. I am personally delighted to see that success metrics are being monitored at ELT level and that ""vanity metrics"" are being challenged to identify gaps and take the right actions. All very encouraging.",0,1,1,0,0,0,10,Engagement,Engagement
2024-04-04 00:00:00,How likely is it you would recommend Abcam as a place to work?,"I feel like there is a big lack of communication between teams, priorities seem to be constantly changing with not enough guidance from management.",0,0,0,1,0,0,5,Engagement,Engagement
2024-04-09 00:00:00,How likely is it you would recommend Abcam as a place to work?,Conflicting and confusing priorities. Don't feel able to focus on what I'm supposed to be working on because I'm constantly being interrupted to speak about other changes,1,0,1,1,0,0,5,Engagement,Engagement
2024-04-03 00:00:00,How likely is it you would recommend Abcam as a place to work?,Still feeling some uncertainty of the acquisition. Just a personal feeling.,1,0,1,0,0,0,8,Engagement,Engagement
2024-04-09 00:00:00,How likely is it you would recommend Abcam as a place to work?,"Abcam has many great qualities and aspects but having a career here can be difficult. Middle management is asked to do too much, manage too many, and appease the superiors (ELT/DHR) who are not actually in touch with the actual operations. It leaves you feeling stranded from above, carrying a team too large, and burnt out too fast.",0,0,0,0,1,0,5,Engagement,Engagement
2024-04-03 00:00:00,How likely is it you would recommend Abcam as a place to work?,My work is computer based so i would prefer working remotely and not hybrid,0,0,0,0,1,1,7,Engagement,Engagement
2024-04-03 00:00:00,How likely is it you would recommend Abcam as a place to work?,We operate as if we're a startup but aren't.,0,1,1,0,0,0,6,Engagement,Engagement
2024-04-08 00:00:00,How likely is it you would recommend Abcam as a place to work?,"Still room for improvement, but I actually shared our career site to friends for the first time in years.",0,0,0,0,1,0,9,Engagement,Engagement
2024-04-08 00:00:00,How likely is it you would recommend Abcam as a place to work?,"good people, fun environment, flexibility is high",0,0,0,1,1,1,9,Engagement,Engagement
2024-05-07 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Jury is out,0,0,0,0,0,0,5,Company questions,Transition
2024-05-02 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"Yes, the structure was much overdue.  But still undecided if that is the environment in which I will thrive or not.  Only time can tell.",0,0,0,0,0,1,9,Company questions,Transition
2024-04-09 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,I think there are a lot of great opportunities when it comes to the acquisition but I wish that there was more clear communication as to how HR will be effected when it comes to role changes.,0,0,0,1,0,1,5,Company Questions,Transition
2024-04-05 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"I bloody hope so, this last year of circus better be worth it.",0,1,1,0,0,0,,Company Questions,Transition
2024-05-01 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,I think it will make abcam a stronger company but we may lose things on the way to this,1,0,0,0,0,0,9,Company questions,Transition
2024-05-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"If Danaher can consider evaluating the system used in Abcam, it will help more.",0,1,1,0,0,0,9,Company questions,Transition
2024-04-08 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,I am not sure whether the change will be positive or negative as I'm not sure what the long term plan is and what the future of abcam will look like,0,1,1,0,0,0,7,Company Questions,Transition
2024-04-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"Remains to be seen, we're so busy we don't ever get to go to town halls or have time during work to watch the recordings",0,0,1,0,0,0,2,Company Questions,Transition
2024-04-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Several months in and still no compensation plan.  I doubt any of the C suiters making these decisions would keep working on the promise of pay later,0,0,0,0,1,1,4,Company Questions,Transition
2024-05-01 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Still in the trough of the change curve - uneasy but moving on.,1,0,0,0,0,0,6,Company questions,Transition
2024-04-05 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,I stay neutral about it for now,0,0,0,0,0,0,7,Company Questions,Transition
2024-05-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"I have not yet been shown anything that has made me think that becoming part of Danaher might be positive (especially after hearing about the future bonus program which is a decent step down from the previous one, I am worried about losing further benefits here)",1,0,0,0,0,0,6,Company questions,Transition
2024-05-01 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Positive so far and good that we had news on the what reward now looks like. Great to have an incentive plan in place.,0,0,0,0,1,0,9,Company questions,Transition
2024-04-08 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Really depends on the status of our benefits...,0,0,0,0,1,0,8,Company Questions,Transition
2024-04-09 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Feeling confident about this considering the changes so far.,1,0,0,0,0,0,10,Company Questions,Transition
2024-05-06 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,yes and no I think they will streamline the company but they seem like they want to do it for profit so that steam line looks like it will also include pay increases and our bonus,1,0,0,0,1,0,7,Company questions,Transition
2024-04-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Lots of change happening around the organisation - it's not always clear what the goal is but I am confident that it should improve Abcam processes in the future.,0,1,1,0,0,0,9,Company Questions,Transition
2024-04-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,Yet to see real progress with CMO but other areas of the business are experiencing improvements,0,0,1,0,0,0,9,Company Questions,Transition
2024-05-01 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"Already seeing much more focus on structure/process and KPIs which can only be positive, helping us do fewer things, but do them excellently.",1,0,1,0,0,0,9,Company questions,Transition
2024-04-09 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,"So far its not clear what the positive impact will be, the transition feels quite chaotic",1,0,0,0,0,0,4,Company Questions,Transition
2024-04-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,I hope a positive change will come.,1,0,0,0,0,0,8,Company Questions,Transition
2024-04-03 00:00:00,I believe a positive change will occur as a result of the transition to become part of Danaher.,I hope to hear about bonus for this year.,0,0,0,0,1,0,9,Company Questions,Transition
2024-05-08 00:00:00,I can count on my coworkers to help out when needed.,"I think in general most people at Abcam are more than willing to help, it is in our culture",0,0,0,1,0,0,9,Engagement,Peer Relationships
2024-04-04 00:00:00,I can count on my coworkers to help out when needed.,"Final team structures, ways of working, and R&Rs are still unclear.",0,0,1,1,0,0,1,Engagement,Peer Relationships
2024-04-03 00:00:00,I can count on my coworkers to help out when needed.,Because those people try their best to understand me about that,0,0,0,0,0,1,10,Engagement,Peer Relationships
2024-04-08 00:00:00,I can count on my coworkers to help out when needed.,Everyone in the team is extremely helpful. There is full motivation to succeed and everyone knows that the way to do it is through collaboration and team work.,1,0,1,1,0,0,10,Engagement,Peer Relationships
2024-04-03 00:00:00,I can count on my coworkers to help out when needed.,Generally yes. Mood in the MS team is a bit of a downer. People are happy to help but seem to be held back.,0,0,0,1,0,0,9,Engagement,Peer Relationships
2024-05-01 00:00:00,I can count on my coworkers to help out when needed.,ADP team are great at always being able to help each other out where needed. Also find that the inter team dynamics are getting better where we can help each other out.,0,0,0,1,0,0,9,Engagement,Peer Relationships
2024-04-09 00:00:00,I can count on my coworkers to help out when needed.,the energy is this building is very positive. we all work together.,0,0,0,1,0,0,10,Engagement,Peer Relationships
2024-05-03 00:00:00,I can count on my coworkers to help out when needed.,"Team workers always support as best they can, even when under pressure",0,0,0,1,0,0,10,Engagement,Peer Relationships
2024-04-04 00:00:00,I can count on my coworkers to help out when needed.,Some team members don't pull their weight.,0,0,0,1,0,0,6,Engagement,Peer Relationships
2024-04-08 00:00:00,I can count on my coworkers to help out when needed.,We have some overlaps in responsibilities which makes collaboration difficult as multiple stakeholders perceive to have the D (final decision).,0,0,1,1,0,0,4,Engagement,Peer Relationships
2024-04-03 00:00:00,I can count on my coworkers to help out when needed.,Workplace is a solid team. Everyone is contributing.,0,0,0,1,0,0,10,Engagement,Peer Relationships
2024-05-01 00:00:00,I can have well-informed and constructive conversations with my manager about pay.,"I feel as though a conversation around pay / performance should be structured around a clear set of goals and measurable attributes. These goals are set at the beginning of the year, which makes sense, but so far I haven't seen the company allow for enough space in workload / priorities for people to work towards those goals. This would make the pay conversations difficult as the structure isn't clear.",0,0,0,0,1,1,6,Engagement,Reward
2024-05-01 00:00:00,I can have well-informed and constructive conversations with my manager about pay.,Lack of transparency on roles/levels benchmarking in recent comms,0,0,0,0,0,1,7,Engagement,Reward
2024-04-03 00:00:00,I can have well-informed and constructive conversations with my manager about pay.,usually conversations about pay ends with: 'it s what it is..' I do not blame my manager he don't own the company.,0,0,0,0,1,1,3,Engagement,Reward
2024-05-02 00:00:00,I can have well-informed and constructive conversations with my manager about pay.,"I have never had a real conversation regarding pay. Once a year Abcam tells me how much they will pay me. Honestly, even if we were to have a constructive conversation, I do not think it would be beneficial or make a difference. Impossible to live on my pay scale here in the greater Boston area without having a second job, side hustle, roommates or partner to help contribute. Working here in the past I was literally almost homeless while working 40 hours a week here. Things are tough for all of us all over the world, so I don't see that anything will change. Any small yearly increase in pay is so out of touch and not in line with inflation cost of living.",0,0,0,0,1,1,0,Engagement,Reward
2024-04-08 00:00:00,I can have well-informed and constructive conversations with my manager about pay.,"I think so,  but we did not have the conversation",0,0,0,0,1,1,,Engagement,Reward
2024-05-01 00:00:00,I can have well-informed and constructive conversations with my manager about pay.,clear and constructive,0,0,0,0,0,0,10,Engagement,Reward
2024-04-08 00:00:00,I feel that I’m growing professionally.,"I have a degree in business administration, and I have been rejected from every internal job I have applied for in my attempts to grow internally. I have often been told I am qualified for the jobs I'm applying for, but the offer will go to someone else. It's hard not to take it personally as if I will never grow here.",0,0,0,0,1,0,2,Engagement,Growth
2024-04-04 00:00:00,I feel that I’m growing professionally.,After seeking multiple opportunities to shadow/cross-collaborate none have been possible.,0,0,0,0,1,0,2,Engagement,Growth
2024-05-01 00:00:00,I feel that I’m growing professionally.,Putting a neutral answer this time around as I feel I have not been learning anything new in the last couple of months. Could change moving forward but then so will my answer.,0,0,0,0,1,0,7,Engagement,Growth
2024-05-10 00:00:00,I feel that I’m growing professionally.,"David H. always introduced professional growth opportunities, and my current line manager, Julie W., helped connect me to the DBS officer. I truly appreciated both for their helping me grow professionally.",0,0,0,0,1,0,10,Engagement,Growth
2024-05-10 00:00:00,I feel that I’m growing professionally.,"I've faced challenges in the last few months in areas I was confident, this has helped me reassess & develop myself. Getting to speak-up and engage with the DBS changes has also been exciting & fulfilling.",0,0,0,0,1,1,10,Engagement,Growth
2024-04-08 00:00:00,I feel that I’m growing professionally.,I am being brought in on more and more high level projects.,0,0,0,1,1,0,8,Engagement,Growth
2024-04-09 00:00:00,I have the opportunity to do challenging things at work.,"Working on people skills is challenging here, and I've definitely had a lot of opportunities dealing with people.",0,0,0,0,1,1,8,Engagement,Accomplishment
2024-04-03 00:00:00,I have the opportunity to do challenging things at work.,"This score is hopefully improving with DHR transition, however I continue to feel as though we are missing something truly innovative in our future planning.",1,0,1,0,0,0,6,Engagement,Accomplishment
2024-04-03 00:00:00,I have the opportunity to do challenging things at work.,The Abcam landscape is consistently changing as new and emerging technologies assist Abcam in being the supplier of Anti-Bodies in the world :-),1,0,1,0,0,0,10,Engagement,Accomplishment
2024-05-01 00:00:00,I have the opportunity to do challenging things at work.,"I get to work on pieces outside my comfort zone and have learned new systems, but a lot of the work can be repetitive sometimes",1,0,1,0,0,0,7,Engagement,Accomplishment
2024-04-03 00:00:00,I have the opportunity to do challenging things at work.,"I don’t find my work particularly challenging, other than a few stystem / process issues.",0,0,1,0,1,0,6,Engagement,Accomplishment
2024-05-10 00:00:00,I have the opportunity to do challenging things at work.,Sometimes our systems make them too challenging.  But I do feel we are working on this.,0,0,1,0,0,0,10,Engagement,Accomplishment
2024-04-03 00:00:00,I see a path for me to advance my career in our organisation.,"At first, I seen a path to advance within Abcam when I was a lead in Logistics, now that I am a specialist in a lab I feel like a technician after 7 years. I tried couple of manager position which I fairly did not get but now I feel like I am just good enough to be a lead.",0,0,0,0,1,0,5,Engagement,Growth
2024-04-03 00:00:00,I see a path for me to advance my career in our organisation.,"None, not even promotions are being offered",0,0,0,0,1,0,1,Engagement,Growth
2024-04-03 00:00:00,I see a path for me to advance my career in our organisation.,There are plenty of opportunities to develop new skills and there is movement internally both upwards and in a squiggly way!,0,0,0,0,1,0,9,Engagement,Growth
2024-04-03 00:00:00,I see a path for me to advance my career in our organisation.,There is no path visible to me currently for advancing my career. I'd even go further and say that I'm not sure about the longevity of my current role beyond 2024.,0,0,0,0,1,0,1,Engagement,Growth
2024-04-03 00:00:00,I see a path for me to advance my career in our organisation.,with the acquisition I feel like there are so many more opportunities on the horizon for additional growth and development with a larger organization or other Opcos which is very exciting,0,0,0,0,1,0,10,Engagement,Growth
2024-05-10 00:00:00,I see a path for me to advance my career in our organization.,"Not really, haven't seen a career path that takes me any higher without ending up just being a people manager",0,0,0,0,1,0,5,Engagement,Growth
2024-05-02 00:00:00,I see a path for me to advance my career in our organization.,"There are not many obvious steps I could take, and I am being questioned as to whether it is actually right for me more than I would expect when the feedback is that I am succeeding in my current role. I believe this stems from concerns about the lack of business justification. It is quite a demoralizing situation.",0,0,0,0,1,0,1,Engagement,Growth
2024-05-01 00:00:00,I see a path for me to advance my career in our organization.,still new but will eventually grow into a role,0,0,0,0,1,0,5,Engagement,Growth
2024-05-01 00:00:00,I see a path for me to advance my career in our organization.,I am moving in this direction but still waiting on the organization to prove my direction is right,0,0,0,0,1,0,8,Engagement,Growth
2024-05-07 00:00:00,I see a path for me to advance my career in our organization.,Positions are advertised then pulled regularly because Abcam cannot decide who/what they want to hire.,0,0,0,0,1,0,4,Engagement,Growth
2024-05-07 00:00:00,I see a path for me to advance my career in our organization.,Absolutely - now having completed my apprenticeship I can explore further opportunities within my role/workplace.,0,0,0,0,1,0,10,Engagement,Growth
2024-05-06 00:00:00,I see a path for me to advance my career in our organization.,"Because the company is undergoing major changes, I predict that in a year's time there may be a major restructuring of work, embracing the changes with confidence and hope.",1,0,0,0,1,0,8,Engagement,Growth
2024-05-07 00:00:00,I see a path for me to advance my career in our organization.,Been rejected from very internal job I've applied to :'( (4 jobs over the past 12 months),0,0,0,0,1,0,3,Engagement,Growth
2024-05-10 00:00:00,I see a path for me to advance my career in our organization.,There is always a path but unclear what is the direction,0,0,0,0,1,0,8,Engagement,Growth
2024-05-10 00:00:00,I see a path for me to advance my career in our organization.,I know if I desired this it would be possible,0,0,0,0,1,0,10,Engagement,Growth
2024-05-10 00:00:00,I see a path for me to advance my career in our organization.,"I feel that although there is no clear path, that Abcam make opportunities available at the right time",0,0,0,0,1,0,9,Engagement,Growth
2024-05-06 00:00:00,I see how my work contributes to positive outcomes for our customers.,By making sure our inventories are correctly stored and equipment's properly working also quickly investigating issues related.,0,1,1,0,0,0,,Engagement,Meaningful Work
2024-04-03 00:00:00,"If I do great work, I know that it will be recognised.",We all do great work to manage the status quo,0,0,1,0,0,0,4,Engagement,Recognition
2024-04-03 00:00:00,"If I do great work, I know that it will be recognised.",Everything for the labs is so important to them which is shown when we help them achieve their goals.,0,0,1,0,0,0,8,Engagement,Recognition
2024-05-01 00:00:00,"If I do great work, I know that it will be recognized.",This has not been true in the recent past but it is improving.,0,0,0,0,0,1,9,Engagement,Recognition
2024-05-01 00:00:00,"If I do great work, I know that it will be recognized.",Not right now. There's so much going on I don't think people have the time to stop and recognise. This will reset post the summer when we are in a slicker DHR way of working,0,0,0,0,0,1,6,Engagement,Recognition
2024-05-08 00:00:00,"If I do great work, I know that it will be recognized.",Maybe I'm just not doing great work.,0,0,0,0,1,0,5,Engagement,Recognition
2024-05-03 00:00:00,"If I do great work, I know that it will be recognized.","One-to-ones include recognition for successes, and team members are recognised in group settings",0,0,0,0,0,1,10,Engagement,Recognition
2024-05-01 00:00:00,"If I do great work, I know that it will be recognized.","Historically no, but it's getting better.",0,0,0,0,0,0,5,Engagement,Recognition
2024-05-07 00:00:00,I'm given enough freedom to decide how to do my work.,"Autonomy and trust from my manager, and team, allows me to complete my work freely.",0,0,0,0,0,1,10,Engagement,Autonomy
2024-05-08 00:00:00,I'm given enough freedom to decide how to do my work.,Marketing has taken over many of the programs we routinely rely on to make budget. Also discount structures have changed given us less permissions to be able to make swift decisions whilst in accounts.,0,0,1,0,0,0,5,Engagement,Autonomy
2024-04-03 00:00:00,I'm given enough freedom to decide how to do my work.,Yes I have some of that freedom given day to day needs of the business and transition activity.,0,0,0,0,0,1,8,Engagement,Autonomy
2024-05-01 00:00:00,I'm given enough freedom to decide how to do my work.,My Manager is very supportive when needed but gives me the space to decide how I work,0,0,0,0,1,1,10,Engagement,Autonomy
2024-05-01 00:00:00,I'm given enough freedom to decide how to do my work.,still training so does not apply,0,0,0,0,0,0,5,Engagement,Autonomy
2024-04-03 00:00:00,I'm given enough freedom to decide how to do my work.,I work comfortably with full enjoyment but i keep my target in mind,0,0,0,0,1,0,10,Engagement,Autonomy
2024-05-02 00:00:00,I'm given enough freedom to decide how to do my work.,"Management dependent, but the company as a whole is accommodating to their employee's flexibility choices.",0,0,0,0,0,1,10,Engagement,Autonomy
2024-05-11 00:00:00,I'm given enough freedom to decide how to do my work.,"Very little micromanaging as long as your metrics look fine and the temporary dips can be explained or are communicated (technical difficulties with Ring Central causing missed calls or something of that nature, for example.)",0,0,0,0,1,1,10,Engagement,Autonomy
2024-05-01 00:00:00,I'm given enough freedom to decide how to do my work.,"getting a bit nervous with the launch of Yeti in Japan coming up soon and how that will impact us. Also, with the discontinuation of adminsite but I think Rich Lane is working towards a possible solution to help tie us over while we switch systems",0,1,1,0,0,0,7,Engagement,Autonomy
2024-05-02 00:00:00,I'm satisfied with the amount of flexibility I have in my work schedule.,The office policy makes things difficult. It is tiring and expensive. There are a lot of distractions in the office. Not enough parking for everyone meaning more income is spent on public transport. The office policy should be reduced to one day to match the parking situation of 4 space a month.,0,0,0,0,1,1,6,Engagement,Autonomy
2024-05-02 00:00:00,I'm satisfied with the amount of flexibility I have in my work schedule.,"I have many options as to how, when and where I work which is vital in helping me to remain productive.",0,0,0,0,0,1,10,Engagement,Autonomy
2024-05-01 00:00:00,I'm satisfied with the amount of flexibility I have in my work schedule.,"The made to order conjugate pipeline is so unpredictable, you could have plenty of free time (rarely) or be rushed the whole week trying to stay on top of it with no time for other things. It makes it difficult to plan capacity for.",0,0,1,0,0,1,10,Engagement,Autonomy
2024-04-04 00:00:00,I'm satisfied with the amount of flexibility I have in my work schedule.,"I appreciate the flexibility Abcam offers, but recently, with some teammates on leave, the workload has increased significantly, making the work more intense and less flexible.",0,1,0,0,1,0,7,Engagement,Autonomy
2024-04-09 00:00:00,I'm satisfied with the amount of flexibility I have in my work schedule.,"I don't really have any problems with my work schedule, and I'm sure if there was, my manager is open to communicating any problems at all times.",0,0,0,0,1,1,10,Engagement,Autonomy
2024-05-06 00:00:00,"Most days, I feel a sense of accomplishment from what I do.","Write now I feel that we are chasing a goal, not really putting out our best work.",0,1,1,0,0,0,6,Engagement,Accomplishment
2024-05-06 00:00:00,"Most days, I feel a sense of accomplishment from what I do.",There are good day and not so good days.  There is a bit of bouncing around in addressing the hottest burning fire for the day and not always to tasks get completed.,0,1,1,0,0,0,8,Engagement,Accomplishment
2024-05-02 00:00:00,"Most days, I feel a sense of accomplishment from what I do.",I am always discovering new ways to perform by work at a higher level and speed.,0,0,1,0,0,0,9,Engagement,Accomplishment
2024-05-10 00:00:00,"Most days, I feel a sense of accomplishment from what I do.","Yep, most days. Some days not so much, but most days I know I have added value. Being agile and fluid, having acceptance of what you can't control while prioritising what you can, is key to happiness in workloads.",1,0,1,0,0,0,10,Engagement,Accomplishment
2024-05-01 00:00:00,My coworkers are committed to doing quality work.,Most of the team are committed and hard working. Some are work avoiders.,0,0,0,1,0,0,7,Engagement,Peer Relationships
2024-05-06 00:00:00,My coworkers are committed to doing quality work.,"the ""1 Team"" mentality needs to make a comeback across the business.  it's tough when myself and immediate team try to delivery quality work for the customers but are blocked by cross functional teams who don't seem to have the same desires, and their agenda is more for ""the self"" than the team",0,0,0,1,0,0,8,Engagement,Peer Relationships
2024-04-09 00:00:00,My coworkers are committed to doing quality work.,"By coworkers, do you mean direct team members or other teams?",0,0,0,0,0,0,9,Engagement,Peer Relationships
2024-04-03 00:00:00,My coworkers are committed to doing quality work.,I think this dropped during the recovery from S&D where people were overloaded with manual work and firefighting. It feels like Abcam is back to doing quality work globally,0,0,0,1,0,0,9,Engagement,Peer Relationships
2024-05-08 00:00:00,My coworkers are committed to doing quality work.,The pressure of unachievable dead lines and of junior staff to show knowledge is effecting standards. Experienced staff seem uninterested in documenting standards,0,0,1,1,0,0,7,Engagement,Peer Relationships
2024-05-10 00:00:00,My coworkers are committed to doing quality work.,I worry that sometimes the drive for KPI related to numbers of products published can impact the quality of the products we produce as the number is the driver,0,1,0,1,0,0,8,Engagement,Peer Relationships
2024-05-01 00:00:00,My coworkers are committed to doing quality work.,We're a hard working bunch,0,0,0,1,0,0,10,Engagement,Peer Relationships
